neogeo.zip	.SNK Neo Geo BIOS
knightsp.zip	Knights of the Round - Plus, Hack
knightsu.zip	Knights of the Round - USA 911127
kovbl.zip	Knights of Valour / San Guo Zhan Ji / Sangoku Senki - Bootleg, V112CN?
kov111.zip	Knights of Valour / San Guo Zhan Ji / Sangoku Senki - ver. 111, Japanese Board
kov115.zip	Knights of Valour / San Guo Zhan Ji / Sangoku Senki - ver. 115
kov114.zip	Knights of Valour / Sanguo Zhan Ji / Sangoku Senki - ver. 114, Hong Kong
kov2dzxx.zip	Knights of Valour 2 - Dou Zhuan Xing Xuan - Hack, ver.110
kov2100.zip	Knights of Valour 2 / Sanguo Zhan Ji 2 / Sangoku Senki 2 - ver. 100, 100, 100HK
kov2101.zip	Knights of Valour 2 / Sanguo Zhan Ji 2 / Sangoku Senki 2 - ver. 101, 101, 100HK
kov2102.zip	Knights of Valour 2 / Sanguo Zhan Ji 2 / Sangoku Senki 2 - ver. 102, 101, 100HK
kov21022.zip	Knights of Valour 2 / Sanguo Zhan Ji 2 / Sangoku Senki 2 - ver. 102, 102, 100HK
kov2103.zip	Knights of Valour 2 / Sanguo Zhan Ji 2 / Sangoku Senki 2 - ver. 103, 101, 100HK
kov2104.zip	Knights of Valour 2 / Sanguo Zhan Ji 2 / Sangoku Senki 2 - ver. 104, 102, 100HK
kov2106.zip	Knights of Valour 2 / Sanguo Zhan Ji 2 / Sangoku Senki 2 - ver. 106, 102, 100HK
kov2pemp.zip	Knights of Valour 2 Plus - Extend Magic Plus - Hack
kov2p200.zip	Knights of Valour 2 Plus - Nine Dragons / Sanguo Zhan Ji 2 Qunxiong Zhengba / Sanguo Zhan Ji 2 Feilong Zai Tian / Sangoku Senki Busyou Souha - ver. M200XX, 200, 100CN
kov2p202.zip	Knights of Valour 2 Plus - Nine Dragons / Sanguo Zhan Ji 2 Qunxiong Zhengba / Sanguo Zhan Ji 2 Feilong Zai Tian / Sangoku Senki Busyou Souha - ver. M202XX, 200, 100CN
kov2p203.zip	Knights of Valour 2 Plus - Nine Dragons / Sanguo Zhan Ji 2 Qunxiong Zhengba / Sanguo Zhan Ji 2 Feilong Zai Tian / Sangoku Senki Busyou Souha - ver. M203XX, 200, 100CN
kov2p204.zip	Knights of Valour 2 Plus - Nine Dragons / Sanguo Zhan Ji 2 Qunxiong Zhengba / Sanguo Zhan Ji 2 Feilong Zai Tian / Sangoku Senki Busyou Souha - ver. M204XX, 200, 100CN
kov2pshjz.zip	Knights of Valour 2 Plus - Shuang Han Jiu Zhou - Hack
kov2pshpd.zip	Knights of Valour 2 Plus - Xie Feng Tian Chi - Hack
kovplusq.zip	Knights of Valour Plus - New Biography of Heroes - V120
kovplus20tx.zip	Knights of Valour Plus - Qun Xiong Luan Wu 2020
kovplusbl.zip	Knights of Valour Plus / San Guo Zhan Ji - Zeng Zong Plus/ Sangoku Senki Masamune Plus - bootleg, V117CN? 
kovplusa.zip	Knights of Valour Plus / San Guo Zhan Ji - Zheng Zong Plus / Sangoku Senki Masamune Plus - ver. 119, set 2
kovp12em.zip	Knights of Valour Plus 2012 - Nightmare
kovp12dw.zip	Knights of Valour Plus 2012 - Warriors
kovsh100.zip	Knights of Valour Super Heroes / San Guo Zhan Ji - Feng Yun Zai Qi / Sangoku Senki Super Heroes - ver. 100, CN
kovsh101.zip	Knights of Valour Super Heroes / San Guo Zhan Ji - Feng Yun Zai Qi / Sangoku Senki Super Heroes - ver. 101, CN
kovsh102.zip	Knights of Valour Super Heroes / San Guo Zhan Ji - Feng Yun Zai Qi / Sangoku Senki Super Heroes - ver. 102, CN
kovsh103.zip	Knights of Valour Super Heroes / San Guo Zhan Ji - Feng Yun Zai Qi / Sangoku Senki Super Heroes - ver. 103, CN
kovytzyce.zip	Knights of Valour Super Heroes / Yi Tong Zhong Yuan Qing Ban - 2020-A, hack
kovytzyws.zip	Knights of Valour Super Heroes / Yi Tong Zhong Yuan Wu Shuang Ban - 2019-0, hack
kovshpzqhl.zip	Knights of Valour Super Heroes Plus - The Best Firepower In 2020, 2020-02-06
kovshpqszltw.zip	Knights of Valour Super Heroes Plus - The Road to Survival True King Tian Wang, ver. 500
kovshpqszl.zip	Knights of Valour Super Heroes Plus - The Road to Survival True King, ver. 500
kovshp100.zip	Knights of Valour Super Heroes Plus / San Guo Zhan Ji - Luan Shi Xiao Xiong - ver. 100
kovshp101.zip	Knights of Valour Super Heroes Plus / San Guo Zhan Ji - Luan Shi Xiao Xiong - ver. 101, Chinese Board
kovshbl.zip	Knights of Valour Superheroes / Sangoku Senki Superheroes - bootleg, V104CN
kovshdf.zip	Knights of Valour Superheroes / Sangoku Senki Superheroes - Dungeons & Warriors - Hack
kovshmg.zip	Knights of Valour Superheroes / Sangoku Senki Superheroes - Muggle Legend - Hack
kovshszl.zip	Knights of Valour Superheroes / Sangoku Senki Superheroes - The Road Beyond the Gods - Hack
knockout.zip	Knock Out!! - bootleg, set 1
kbashk.zip	Knuckle Bash - Korean PCB
kbashp.zip	Knuckle Bash - location test
kbash2.zip	Knuckle Bash 2 - bootleg
knckheadj.zip	Knuckle Heads - Japan
knckheadjp.zip	Knuckle Heads - Japan, Prototype?
kncljoea.zip	Knuckle Joe - set 2
rockragej.zip	Koi no Hotrock - Japan
etoa.zip	Kokontouzai Eto Monogatari - Japan, prototype?
konami88.zip	Konami '88
rf2.zip	Konami RF2 - Red Fighter
korosuke.zip	Korosuke Roller - Japan
kouyakyu.zip	Koukou Yakyuu, The - Japan
legofair.zip	Koukuu Kihei Monogatari - The Legend of Air Cavalry - Japan
strahlj.zip	Koutetsu Yousai Strahl - Japan set 1
strahlja.zip	Koutetsu Yousai Strahl - Japan set 2
krama.zip	Kram
sandscrpb.zip	Kuai Da Shizi Huangdi - China?, Revised Hardware
kuhga.zip	Kuhga - Operation Code 'Vapor Trail' - Japan revision 3
kungfub.zip	Kung-Fu Master - bootleg set 1
kungfub2.zip	Kung-Fu Master - bootleg set 2
kungfub3.zip	Kung-Fu Master - bootleg set 3
kungfumd.zip	Kung-Fu Master - US
kungfub3s.zip	Kung-Fu Senjyo - bootleg, Spanish
kungfuta.zip	Kung-Fu Taikun - set 2
kurikintj.zip	Kuri Kinton - Japan
kurikintu.zip	Kuri Kinton - US
kurikintw.zip	Kuri Kinton - US, World Games license
kurikinta.zip	Kuri Kinton - World, prototype?
brkthruj.zip	Kyohkoh-Toppa - Japan
kyrosj.zip	Kyros no Yakata - Japan
dadandrn.zip	Kyukyoku Sentai Dadandarn - ver JAA
ktigera.zip	Kyukyoku Tiger - Japan, 2 player alternate
ktiger.zip	Kyukyoku Tiger - Japan, 2 player cooperative
ktiger2.zip	Kyukyoku Tiger II - Ver 2.1J 1995/11/30
kyukaidko.zip	Kyuukai Douchuuki - Japan, old version
lagirl.zip	LA Girl
labyrunr.zip	Labyrinth Runner - Japan
labyrunrf.zip	Labyrinth Runner - World Ver. F
labyrunrk.zip	Labyrinth Runner - World Ver. K
ladybugg.zip	Lady Bug - bootleg on Galaxian hardware, unencrypted
ladybugb.zip	Lady Bug - bootleg
ladymstra.zip	Lady Master of Kung Fu
landbrkb.zip	Land Breaker - World / Miss Tang Ja Ru Gi - Korea - pcb ver 1.0 - AT89c52 protected
landbrka.zip	Land Breaker - World / Miss Tang Ja Ru Gi - Korea - pcb ver 3.03 - AT89c52 protected
landmakrhe.zip	Land Maker - English Translation Hack
landmakrj.zip	Land Maker - Ver 2.01J 1998/06/01
landmakrp.zip	Land Maker - Ver 2.02O 1998/06/02, prototype
lans2004.zip	Lansquenet 2004 - bootleg of Shock Troopers - 2nd Squad
lghostj.zip	Laser Ghost - Japan - FD1094 317-0164
lghostud.zip	Laser Ghost - US - bootleg of FD1094 317-0165 set
lghostu.zip	Laser Ghost - US - FD1094 317-0165
lghostd.zip	Laser Ghost - World - bootleg of FD1094 317-0166 set
lastduelb.zip	Last Duel - bootleg
lastduelj.zip	Last Duel - Japan
lastduelo.zip	Last Duel - US Old Ver.
lastfortea.zip	Last Fortress - Toride - China, Rev A
lastforte.zip	Last Fortress - Toride - China, Rev C
lastfortg.zip	Last Fortress - Toride - Germany
lastfortj.zip	Last Fortress - Toride - Japan, VG460 PCB
lastfortk.zip	Last Fortress - Toride - Korea
lastkma.zip	Last KM - ver 1.0.0227, checksum 747a7443, prototype
lastmisnj.zip	Last Mission - Japan
lastmisnu5.zip	Last Mission - US revision 5
lastmisnu6.zip	Last Mission - US revision 6
lresortp.zip	Last Resort - prototype
lastsurvd.zip	Last Survivor - Japan - bootleg of FD1094 317-0083 set
bagnardi.zip	Le Bagnard - Itisa, Spain
bagnardio.zip	Le Bagnard - Itisa, Spain, older
bagnard.zip	Le Bagnard - set 1
bagnarda.zip	Le Bagnard - set 2
leadang.zip	Lead Angle - Japan
ledstorm.zip	Led Storm - US
leds2011u.zip	Led Storm Rally 2011 - US
fitegolfu.zip	Lee Trevino's Fighting Golf - US, Ver 2, set 1
fitegolfua.zip	Lee Trevino's Fighting Golf - US, Ver 2, set 2
loht_ms.zip	Legend of Hero Tonma - Gaelco bootleg, Modular System
lohtj.zip	Legend of Hero Tonma - Japan
lohtb2.zip	Legend of Hero Tonma - Japan, bootleg with i8751
lohtb.zip	Legend of Hero Tonma - Playmark unprotected bootleg
lohtb3.zip	Legend of Hero Tonma - World, bootleg with i8751
lwingsb.zip	Legendary Wings - bootleg
lwingsa.zip	Legendary Wings - US
legendb.zip	Legion - bootleg of Legend
legionnaj.zip	Legionnaire - Japan
legionnau.zip	Legionnaire - US
bgareggabla.zip	Leishen Chuan / Thunder Deity Biography - Chinese hack of Battle Garegga
crshrace2.zip	Lethal Crash Race / Bakuretsu Crash Race - set 2
crshrace2a.zip	Lethal Crash Race / Bakuretsu Crash Race - set 2, alternate sound ROM
lethaleneaa.zip	Lethal Enforcers - ver EAA, 09/09/92 09:44
lethaleneab.zip	Lethal Enforcers - ver EAB, 10/14/92 19:53
lethalenead.zip	Lethal Enforcers - ver EAD, 11/11/92 10:52
lethaleneae.zip	Lethal Enforcers - ver EAE, 11/19/92 16:24
lethalenua.zip	Lethal Enforcers - ver UAA, 08/17/92 21:38
lethalenub.zip	Lethal Enforcers - ver UAB, 09/01/92 11:12
lethalenux.zip	Lethal Enforcers - ver unknown, US, 08/06/92 15:11, hacked/proto?
lifefrcej.zip	Lifeforce - Japan
lifefrce.zip	Lifeforce - US
lightbrj.zip	Light Bringer - Ver 2.1J 1994/02/18
lgtnfghta.zip	Lightning Fighters - Asia
lgtnfghtu.zip	Lightning Fighters - US
shangonleeh.zip	Limited Edition Hang-On - Enhanced Edition v2.0.2
loffirejd.zip	Line of Fire / Bakudan Yarou - Japan - bootleg of FD1094 317-0134 set
loffirej.zip	Line of Fire / Bakudan Yarou - Japan - FD1094 317-0134
loffireud.zip	Line of Fire / Bakudan Yarou - US - bootleg of FD1094 317-0135 set
loffireu.zip	Line of Fire / Bakudan Yarou - US - FD1094 317-0135
loffired.zip	Line of Fire / Bakudan Yarou - World - bootleg of FD1094 317-0136 set
liquidku.zip	Liquid Kids - US
lithero.zip	Little Hero
lizardhunt.zip	Lizard Hunt - unprotected, checksum 25A83609
clocknchj.zip	Lock'n'Chase - DECO Cassette - Japan
lockonc.zip	Lock-On - rev. C
locoboot.zip	Loco-Motion - bootleg
ldruna.zip	Lode Runner - set 2
loderndfa.zip	Lode Runner - The Dig Fight - ver. A
ldrun3j.zip	Lode Runner III - Majin no Fukkatsu - Japan, rev. A
ldrun3jc.zip	Lode Runner III - Majin no Fukkatsu - Japan, rev. C
logicpro.zip	Logic Pro - Japan
looper.zip	Looper
looptris.zip	Looptris - HB, v. 20211226
looptrsp.zip	Looptris Plus - HB, ver. 20221224
lordgunu.zip	Lord of Gun - USA
losttombh.zip	Lost Tomb - hard
lostwrldo.zip	Lost Worlds - Japan Old Ver.
lostwrld.zip	Lost Worlds - Japan
kovlsqho.zip	Luan Shi Quan Huang Te Bie Ban - bootleg of Knights of Valour Super Heroes Plus, V112CN
kovlsyxqszl.zip	Luan Shi Ying Xiong - Qiu Sheng Zhi Lu - hack of Knights of Valour Super Heroes Plus, ver. 500
kovlsyxqxzl.zip	Luan Shi Ying Xiong - Qun Xiong Zhu Lu - hack of Knights of Valour Super Heroes Plus, ver. 500
kovlsyxqxzlp.zip	Luan Shi Ying Xiong - Qun Xiong Zhu Lu Plus - hack of Knights of Valour Super Heroes Plus, ver. 500
kovshpd3dw.zip	Luan Shi Ying Xiong - Qun Xiong Zhu Lu Wu Shuang Edition - Hack, ver. 500
luckywldj.zip	Lucky & Wild - Japan
luckboomh.zip	Lucky Boom - Hard Times hardware
lunarba1.zip	Lunar Battle - prototype, earlier
lunarbat.zip	Lunar Battle - prototype, later
llander1.zip	Lunar Lander - rev 1
luplup10.zip	Lup Lup Puzzle / Zhuan Zhuan Puzzle - version 1.05 / 981214
luplup29.zip	Lup Lup Puzzle / Zhuan Zhuan Puzzle - version 2.9 / 990108
luplup.zip	Lup Lup Puzzle / Zhuan Zhuan Puzzle - version 3.0 / 990128
mia2.zip	M.I.A. - Missing in Action - version S
miaj.zip	M.I.A.: Missing in Action - Japan, version R
machbrkrj.zip	Mach Breakers - Numan Athletics 2 - Japan, MB1
mach9.zip	Mach-9 - bootleg of Vulgus
macross2k.zip	Macross II - Korea
madcrush.zip	Mad Crusher - Japan
madgearj.zip	Mad Gear - Japan
madmotora.zip	Mad Motor - prototype, set 2
mplanetsuk.zip	Mad Planets - UK
magmaxa.zip	Mag Max - set 2
mbrush.zip	Magic Brush - bootleg of Crush Roller
magicbubc.zip	Magic Bubble - Adult version, YS-0211 PCB
magicbuba.zip	Magic Bubble - Adult version, YS1302 PCB, set 1
magicbubb.zip	Magic Bubble - Adult version, YS1302 PCB, set 2
mswordj.zip	Magic Sword: Heroic Fantasy - Japan 900623
mswordu.zip	Magic Sword: Heroic Fantasy - USA 900725
mswordr1.zip	Magic Sword: Heroic Fantasy - World 900623
mcatadvj.zip	Magical Cat Adventure - Japan
mgcrystlj.zip	Magical Crystals - Japan, 92/01/13
mgcrystlo.zip	Magical Crystals - World, 91/12/10
magdrop.zip	Magical Drop - Japan, Version 1.1, 1995.06.21
magdrop3bh.zip	Magical Drop III - Secret Character Hack
magdrop3te.zip	Magical Drop III Tournament Edition
magdropp.zip	Magical Drop Plus 1 - Japan, Version 2.1, 1995.09.12
maglordh.zip	Magician Lord - NGH-005
maglordacfh.zip	Magician Lord - Again Changes from Hell - Hack, English v1.0.0
maglordfacfh.zip	Magician Lord - Again Changes from Hell - Hack, French v1.0.0
magixb.zip	Magix / Rock - no copyright message
mjnquestb.zip	Mahjong Quest - Japan, No Nudity
mahoudai.zip	Mahou Daisakusen - Japan
gunhohki.zip	Mahou Keibitai Gun Hohki - Japan
mstadium.zip	Main Stadium - Japan
majest12j.zip	Majestic Twelve - The Space Invaders Part IV - Japan
majest12ub.zip	Majestic Twelve - The Space Invaders Part IV - US, earlier code base
majest12ua.zip	Majestic Twelve - The Space Invaders Part IV - US, revised code
majest12u.zip	Majestic Twelve - The Space Invaders Part IV - US, revised code, Rev 1
mhavocp.zip	Major Havoc - prototype
mhavoc2.zip	Major Havoc - rev 2
mhavocrv.zip	Major Havoc - Return to Vax
majtitlej.zip	Major Title - Japan
majtitl2j.zip	Major Title 2 - Japan
majtitl2a.zip	Major Title 2 - World, set 1, alt sound CPU
majtitl2b.zip	Major Title 2 - World, set 2
majuu.zip	Majuu no Ohkoku
makaiden.zip	Makai Densetsu - Japan
makaimurbbl.zip	Makaimura - Japan revision B bootleg
makaimurb.zip	Makaimura - Japan revision B
makaimurc.zip	Makaimura - Japan revision C
makaimurg.zip	Makaimura - Japan revision G
makaimur.zip	Makaimura - Japan
maketrax.zip	Make Trax - US set 1
maketrxb.zip	Make Trax - US set 2
makyosen.zip	Makyou Senshi - Japan
manhatan.zip	Manhattan 24 Bunsyo - Japan
maniach2.zip	Mania Challenge - set 2
maniacsqb.zip	Maniac Square - protected, version 1.0, checksum CF2D
maniacsqa.zip	Maniac Square - protected, version 1.0, checksum DEEE
maniacsqc.zip	Maniac Square - unprotected, version 1.0, checksum BEAE
mappyj.zip	Mappy - Japan
mmaze2.zip	Marchen Maze - Japan, hack?
mariobl.zip	Mario Bros. - bootleg on Ambush Hardware, set 1
mariobla.zip	Mario Bros. - bootleg on Ambush Hardware, set 2
marioj.zip	Mario Bros. - Japan, Revision C
marioe.zip	Mario Bros. - US, Revision E
mariof.zip	Mario Bros. - US, Revision F
mmatrixa.zip	Mars Matrix: Hyper Solid Shooting - Asia 000412
mmatrixj.zip	Mars Matrix: Hyper Solid Shooting - Japan 000412
mmatrixd.zip	Mars Matrix: Hyper Solid Shooting - USA 000412 Phoenix Edition - bootleg
mtlchampa.zip	Martial Champion - ver AAA
mtlchamp1.zip	Martial Champion - ver EAA
mtlchampj.zip	Martial Champion - ver JAA
mtlchampu1.zip	Martial Champion - ver UAD
mtlchampu.zip	Martial Champion - ver UAE
marmatcp.zip	Martial Masters - Community Patch - Hack
marmatsc.zip	Martial Masters - Secret Characters - Hack
martmast102c.zip	Martial Masters / Xing Yi Quan - ver. 102, 101, 101CN
martmast103c.zip	Martial Masters / Xing Yi Quan - ver. 103, 102, 101CN
martmast104c.zip	Martial Masters / Xing Yi Quan - ver. 104, 102, 101CN
marvlandup.zip	Marvel Land - US, prototype
msha.zip	Marvel Super Heroes - Asia 951024
mshbh.zip	Marvel Super Heroes - Boss Hack
mshbr1.zip	Marvel Super Heroes - Brazil 951024
mshb.zip	Marvel Super Heroes - Brazil 951117
mshh.zip	Marvel Super Heroes - Hispanic 951117
mshjr1.zip	Marvel Super Heroes - Japan 951024
mshj.zip	Marvel Super Heroes - Japan 951117
mshud.zip	Marvel Super Heroes - USA 951024 Phoenix Edition - bootleg
mshu.zip	Marvel Super Heroes - USA 951024
mshvsfa1.zip	Marvel Super Heroes Vs. Street Fighter - Asia 970620
mshvsfa.zip	Marvel Super Heroes Vs. Street Fighter - Asia 970625
mshvsfbh.zip	Marvel Super Heroes Vs. Street Fighter - Boss Hack
mshvsfb1.zip	Marvel Super Heroes Vs. Street Fighter - Brazil 970625
mshvsfb.zip	Marvel Super Heroes Vs. Street Fighter - Brazil 970827
mshvsfcph.zip	Marvel Super Heroes Vs. Street Fighter - Coop, Hack
mshvsfem.zip	Marvel Super Heroes Vs. Street Fighter - Easy Moves, Hack
mshvsfh.zip	Marvel Super Heroes Vs. Street Fighter - Hispanic 970625
mshvsfj2.zip	Marvel Super Heroes Vs. Street Fighter - Japan 970625
mshvsfj1.zip	Marvel Super Heroes Vs. Street Fighter - Japan 970702
mshvsfj.zip	Marvel Super Heroes Vs. Street Fighter - Japan 970707
mshvsfu1d.zip	Marvel Super Heroes Vs. Street Fighter - USA 970625 Phoenix Edition - bootleg
mshvsfu1.zip	Marvel Super Heroes Vs. Street Fighter - USA 970625
mshvsfu.zip	Marvel Super Heroes Vs. Street Fighter - USA 970827
mvscar1.zip	Marvel Vs. Capcom: Clash of Super Heroes - Asia 980112
mvsca.zip	Marvel Vs. Capcom: Clash of Super Heroes - Asia 980123
mvscbh.zip	Marvel Vs. Capcom: Clash of Super Heroes - Boss Hack
mvscb.zip	Marvel Vs. Capcom: Clash of Super Heroes - Brazil 980123
mvscem.zip	Marvel Vs. Capcom: Clash of Super Heroes - Easy Moves, Hack
mvscr1.zip	Marvel Vs. Capcom: Clash of Super Heroes - Europe 980112
mvsch.zip	Marvel Vs. Capcom: Clash of Super Heroes - Hispanic 980123
mvscjr1.zip	Marvel Vs. Capcom: Clash of Super Heroes - Japan 980112
mvscjsing.zip	Marvel Vs. Capcom: Clash of Super Heroes - Japan 980123 - Single PCB
mvscj.zip	Marvel Vs. Capcom: Clash of Super Heroes - Japan 980123
mvscur1.zip	Marvel Vs. Capcom: Clash of Super Heroes - USA 971222
mvscud.zip	Marvel Vs. Capcom: Clash of Super Heroes - USA 980123 Phoenix Edition - bootleg
mvscu.zip	Marvel Vs. Capcom: Clash of Super Heroes - USA 980123
masao.zip	Masao
mastboyod.zip	Master Boy - 1987, Z80 hardware
mastboyoa.zip	Master Boy - 1987, Z80 hardware, Covielsa, set 2
mastboyob.zip	Master Boy - 1987, Z80 hardware, Ichi-Funtel, set 1
mastboyoc.zip	Master Boy - 1987, Z80 hardware, Ichi-Funtel, set 2
masterwj.zip	Master of Weapon - Japan
masterwu.zip	Master of Weapon - US
matchitb.zip	Match It - bootleg
matrimbl.zip	Matrimelee / Shin Gouketsuji Ichizoku Toukon - bootleg
matrimbh.zip	Matrimelee ~ Shin Gouketsuji Ichizoku Toukon - Hack, Enable Hidden Characters V2
maydaya.zip	Mayday - set 2
maydayb.zip	Mayday - set 3
mazebl.zip	Maze - Trog rev LA4 3/11/91 bootleg
mazingerj.zip	Mazinger Z - Japan
mechattj.zip	Mechanized Attack - Japan
mechattu.zip	Mechanized Attack - US
mechattu1.zip	Mechanized Attack - US, Version 1, Single Player
megablstj.zip	Mega Blast - Japan
megablstu.zip	Mega Blast - US
megaforcu.zip	Mega Force - US
megaforc.zip	Mega Force - World
megaman2a.zip	Mega Man 2: The Power Fighters - Asia 960708
megaman2h.zip	Mega Man 2: The Power Fighters - Hispanic 960712
megamn2d.zip	Mega Man 2: The Power Fighters - USA 960708 Phoenix Edition - bootleg
megamana.zip	Mega Man: The Power Battle - CPS1, Asia 951006
mmancp2ur2.zip	Mega Man: The Power Battle - CPS2, USA 950925, SAMPLE Version
mmancp2ur1.zip	Mega Man: The Power Battle - CPS2, USA 950926, SAMPLE Version
mmancp2u.zip	Mega Man: The Power Battle - CPS2, USA 951006, SAMPLE Version
megazonea.zip	Mega Zone - unknown version 1
megazoneb.zip	Mega Zone - unknown version 2
megazoneh.zip	Mega Zone - version H
megazonei.zip	Mega Zone - version I
megazonej.zip	Mega Zone - version J
meijinsna.zip	Meijinsen - set 2
meikyuh.zip	Meikyuu Hunter G - Japan
meikyuhbl.zip	Meikyuu Hunter G - Japan, bootleg
myqbert.zip	Mello Yello Q*bert
mercenario.zip	Mercenario - bootleg of Commando
mercsur1.zip	Mercs - USA 900302
mercsu.zip	Mercs - USA 900608
metalbj.zip	Metal Black - Japan
metalba.zip	Metal Black - World, single PCB
metlhawkj.zip	Metal Hawk - Japan, Rev F
mslug1v2.zip	Metal Slug - Super Vehicle-001 - 1v2 Mode, Hack
mslugfs.zip	Metal Slug - Super Vehicle-001 - Firepower Showdown, Hack
mslugdg.zip	Metal Slug - Super Vehicle-001 - Multifunction, Hack
mslugdyf2.zip	Metal Slug - Super Vehicle-001 - Origins Item Random v2, Hack
msqyfc1.zip	Metal Slug - Super Vehicle-001 - Origins Item Random, Hack
mslugqy.zip	Metal Slug - Super Vehicle-001 - Origins, Hack
mslugfc2.zip	Metal Slug - Super Vehicle-001 - Random Item & Powerful Enemy Defense, Hack
mslugfc1.zip	Metal Slug - Super Vehicle-001 - Random Item, Hack
ms21v2.zip	Metal Slug 2 - Super Vehicle-001/II - 1v2 Mode, Hack
mslug2r.zip	Metal Slug 2 - Super Vehicle-001/II - Enemy Remix, Hack
mslug2eg.zip	Metal Slug 2 - Super Vehicle-001/II - Extraction Green Turbo, Hack
mslug2fm.zip	Metal Slug 2 - Super Vehicle-001/II - Friendly Fire FC2, Hack
mslug2dg.zip	Metal Slug 2 - Super Vehicle-001/II - Multifunction, Hack
mslug2dd.zip	Metal Slug 2 - Super Vehicle-001/II - Starlight, Hack
mslug2ct.zip	Metal Slug 2 - Super Vehicle-001/II - Survival, Hack
mslug2p.zip	Metal Slug 2 - Super Vehicle-001/II - Weapon Storage, Hack
mslug2unity.zip	Metal Slug 2 - Super Vehicle-001/II Unity - Added Timer Ver. 2021-01-22
mslug2t.zip	Metal Slug 2 Turbo - NGM-9410 - hack
ms31v2.zip	Metal Slug 3 - 1v2 Mode, Hack
mslug3eb.zip	Metal Slug 3 - Blue, Hack
ms3dbpls.zip	Metal Slug 3 - Double Enemy, Hack
mslug3c.zip	Metal Slug 3 - Enemy Remix, Hack
mslug3v.zip	Metal Slug 3 - Enhanced Violence, Hack
mslug3i.zip	Metal Slug 3 - Firepower Enhance, Hack
mslug3fd.zip	Metal Slug 3 - Fully Decrypted
mslug3ki.zip	Metal Slug 3 - Komorebi, Hack
mslug3lw.zip	Metal Slug 3 - Last Bullet Remix, Hack
mslug3cqt.zip	Metal Slug 3 - Legend TD v6.0, Hack
mslug3cq.zip	Metal Slug 3 - Legend, Hack
mslug3cqz.zip	Metal Slug 3 - Legendary Journey v5.0, Hack
mslug3cqi.zip	Metal Slug 3 - Legendary Unlimited Fire v7.0, Hack
mslug3g.zip	Metal Slug 3 - Multifunction, Hack
mslug3h.zip	Metal Slug 3 - NGH-2560
mslug3a.zip	Metal Slug 3 - NGM-2560, earlier
mslug3gw.zip	Metal Slug 3 - Onimusha Samanosuke, Hack
mslug3ps.zip	Metal Slug 3 - Pigeon Slug, Hack
mslug3sd.zip	Metal Slug 3 - Shop, Hack
mslug3se.zip	Metal Slug 3 - Special, Hack
mslug3dd.zip	Metal Slug 3 - Starlight, Hack
mslug3sc.zip	Metal Slug 3 - Survival, Hack
mslug3zh.zip	Metal Slug 3 - Vehicle Summon, Hack
mslug3unity.zip	Metal Slug 3 Unity - Added Timer Ver. 2021-02-13
mslug3x.zip	Metal Slug 3X - Complete Collection - Hack
ms41v2.zip	Metal Slug 4 - 1v2 Mode, Hack
mslug4a.zip	Metal Slug 4 - 20th Anniversary, Hack
mslug4c.zip	Metal Slug 4 - Enemy Remix, Hack
mslug4fd.zip	Metal Slug 4 - Fully Decrypted
mslug4ki.zip	Metal Slug 4 - Komorebi, Hack
mslug4lq.zip	Metal Slug 4 - Last Bullet Remix - Without body armor, Hack
mslug4lw.zip	Metal Slug 4 - Last Bullet Remix, Hack
mslug4cqi.zip	Metal Slug 4 - Legendary Unlimited Fire v7.0, Hack
mslug4dg.zip	Metal Slug 4 - Multifunction, Hack
mslug4h.zip	Metal Slug 4 - NGH-2630
mslug4ar.zip	Metal Slug 4 - Random Ammunition, Hack
mslug4dd.zip	Metal Slug 4 - Starlight, Hack
mslug4q.zip	Metal Slug 4 - The Longest Battle, Hack
ms4plus.zip	Metal Slug 4 Plus - bootleg
mslug4unity.zip	Metal Slug 4 Unity - Added Timer Ver. 2021-01-30
ms51v2.zip	Metal Slug 5 - 1v2 Mode, Hack
mslug5ae.zip	Metal Slug 5 - 20th Anniversary, Hack
mslug5b.zip	Metal Slug 5 - bootleg, set 1
mslug5b2.zip	Metal Slug 5 - bootleg, set 2
mslug5bs.zip	Metal Slug 5 - Boss Battles, Hack
mslug5mg.zip	Metal Slug 5 - Devil Enemy Remix, Hack
ms5esr.zip	Metal Slug 5 - Double Enemy, Hack
mslug5db.zip	Metal Slug 5 - Enemy Enhance, Hack
mslug5c.zip	Metal Slug 5 - Enemy Remix, Hack
mslug5ex.zip	Metal Slug 5 - Extend v1.2, Hack
mslug5f.zip	Metal Slug 5 - Fierce Battle, Hack
mslug5fd.zip	Metal Slug 5 - Fully Decrypted
mslug5ki.zip	Metal Slug 5 - Komorebi, Hack
mslug5cqi.zip	Metal Slug 5 - Legendary Unlimited Fire v7.5, Hack
mslug5dg.zip	Metal Slug 5 - Multifunction, Hack
mslug5w.zip	Metal Slug 5 - New Battle, Hack
mslug5h.zip	Metal Slug 5 - NGH-2680
mslug5nd.zip	Metal Slug 5 - Not Encrypted
ms5plush.zip	Metal Slug 5 - Plus, Hack
mslug5ar.zip	Metal Slug 5 - Random Ammunition, Hack
ms5sgf.zip	Metal Slug 5 - Remake FC2, Hack
mslug5dd.zip	Metal Slug 5 - Starlight, Hack
mslug5sg.zip	Metal Slug 5 - Stone Turtle, Hack
mslug5sc.zip	Metal Slug 5 - Survival, Hack
